Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR17866817			0.002733304	10557788.0	53778155.0	100.0	99.995293628054	1.3728901633014372	53778155.0	64335943	64335943	100.0	92.19205424888408	25725800	86.77	24213182.0							
SRR17866817_1																	1.1969735378614343	65.30801912665666	48.0	56.55100536995456	57	18.181818181818183	27939715.0
SRR17866817_1_val_1																		64.23788292353454	48.0	55.892326254469964	56	18.181818181818183	27904574.0
SRR17866817_2																	1.435644869803779	60.80205511525239	49.0	56.523645821011414	57	18.181818181818183	27939715.0
SRR17866817_2_val_2																		59.68105209990641	49.0	55.768192268407326	56	18.181818181818183	27904574.0
SRR17866817_sorted	71.77135820891486	23088650																					
SRR17866818			0.002894405	6423583.0	41168190.0	100.0	99.99530219812918	1.0713733103155616	41168190.0	47591773	47591773	100.0	93.4992513335807	19591763	90.06	18872077.0							
SRR17866818_1																	1.1921945757207792	67.40128909192717	48.0	56.54882597130949	57	18.181818181818183	20987775.0
SRR17866818_1_val_1																		66.32802469736599	48.0	55.89911956829091	56	18.181818181818183	20953925.0
SRR17866818_2																	1.5117167851793543	63.33859678023999	49.0	56.532580371192275	57	18.181818181818183	20987775.0
SRR17866818_2_val_2																		62.122998702371504	49.0	55.75234706624177	56	18.181818181818183	20953925.0
SRR17866818_sorted	76.48686745321258	18201742																					
SRR17866819			0.002738134	14682580.0	52613932.0	100.0	99.99578818781308	2.721011233298435	52613932.0	67296512	67296512	100.0	91.49104870412353	24545590	88.26	23679878.0							
SRR17866819_1																	1.2353825907772789	65.27302324304586	49.0	56.56127158881831	57	18.181818181818183	26852674.0
SRR17866819_1_val_1																		64.23353737119822	49.0	55.87219878065063	56	18.181818181818183	26828406.0
SRR17866819_2																	1.399795477344974	62.797562823566444	50.0	56.527880612560224	57	18.181818181818183	26852674.0
SRR17866819_2_val_2																		61.72410134211358	50.0	55.77664241401446	56	18.181818181818183	26828406.0
SRR17866819_sorted	67.20121234296083	22613130																					
SRR17866820			0.00279203	22754288.0	57148230.0	100.0	99.9959228833509	4.466679020505096	57148230.0	79902518	79902518	100.0	90.4684059725078	26413135	85.36	24921205.0							
SRR17866820_1																	1.1608805957172423	69.36971567744877	49.0	56.55678938436123	57	18.181818181818183	29231590.0
SRR17866820_1_val_1																		68.27024641517139	49.0	55.90816214165397	56	18.181818181818183	29195977.0
SRR17866820_2																	1.4625660612707387	66.62436652382416	50.0	56.537547495705844	57	18.181818181818183	29231590.0
SRR17866820_2_val_2																		65.49407101072951	49.0	55.765129147758955	56	18.181818181818183	29195977.0
SRR17866820_sorted	60.454050522348304	24153286																					
SRR17866821			0.002632178	13315832.0	51510427.0	100.0	99.9962900715228	2.322091020522893	51510427.0	64826259	64826259	100.0	94.45627742695066	24886641	86.92	22902329.0							
SRR17866821_1																	1.2195160660595468	68.93850417494508	48.0	56.55743060551516	57	18.181818181818183	26375475.0
SRR17866821_1_val_1																		67.36337535989182	48.0	55.87606069853184	56	18.181818181818183	26347260.0
SRR17866821_2																	1.3670506886502223	70.47895422026163	50.0	56.52059161019849	57	27.27272727272727	26375475.0
SRR17866821_2_val_2																		69.65778433508441	49.0	55.79427078944831	56	27.27272727272727	26347260.0
SRR17866821_sorted	69.23411174321683	22441950																					
SRR17866822			0.002623169	8480852.0	45712404.0	100.0	99.99576045048954	1.4516497535329798	45712404.0	54193256	54193256	100.0	93.64924356883671	21796632	89.28	20778888.0							
SRR17866822_1																	1.1674082199837457	67.93385910199802	48.0	56.547431017980024	57	18.181818181818183	23302304.0
SRR17866822_1_val_1																		66.59232499400088	48.0	55.89665515276101	56	18.181818181818183	23274755.0
SRR17866822_2																	1.4345257156033075	68.11517837688676	49.0	56.53992433537903	57	27.27272727272727	23302304.0
SRR17866822_2_val_2																		67.23550160742093	49.0	55.78187280596509	56	27.27272727272727	23274755.0
SRR17866822_sorted	74.39770899604396	20160283																					
SRR27320655			0.003452739	5151053.0	38527395.0	100.0	99.9955590041839	0.8358831423718109	38527395.0	43678448	43678448	100.0	91.53001368382385	17992528	90.87	17862904.0							
SRR27320655_1																	1.1838353512581077	46.69860505223805	48.0	58.539300238677164	59	18.181818181818183	19682654.0
SRR27320655_1_val_1																		45.29333668164157	47.0	57.866696643324794	58	18.181818181818183	19657517.0
SRR27320655_2																	1.4635804470592535	42.69338476701503	49.0	58.53545192635099	59	18.181818181818183	19682654.0
SRR27320655_2_val_2																		41.1113082754971	48.0	57.735164924440866	58	18.181818181818183	19657517.0
SRR27320655_sorted	77.34269826261941	16891916																					
SRR27320656			0.002850128	7633011.0	57048581.0	100.0	99.99600866496574	0.7715389099686809	57048581.0	64681592	64681592	100.0	93.75927182377694	27188759	90.92	26364549.0							
SRR27320656_1																	1.1690335410085615	51.3675784364623	47.0	58.54641546689807	59	27.27272727272727	29033307.0
SRR27320656_1_val_1																		50.097230701417516	47.0	57.87571525744026	58	27.27272727272727	28998475.0
SRR27320656_2																	1.4098396484565032	45.03921076616151	48.0	58.52145788972644	59	18.181818181818183	29033307.0
SRR27320656_2_val_2																		43.63510420692206	48.0	57.75018886337988	58	18.181818181818183	28998475.0
SRR27320656_sorted	78.63690912207007	25433000																					
SRR27320657			0.003405649	11764281.0	79070262.0	100.0	99.995748085418	0.8314984462806004	79070262.0	90834543	90834543	100.0	91.94043436239852	37164931	89.14	36034925.0							
SRR27320657_1																	1.0877466979311612	62.796198903450914	47.0	58.53764543439096	59	27.27272727272727	40481828.0
SRR27320657_1_val_1																		61.51822218930284	47.0	57.91166018138856	58	27.27272727272727	40422836.0
SRR27320657_2																	1.5177459887373332	57.221856547245025	48.0	58.54401406972037	59	27.27272727272727	40481828.0
SRR27320657_2_val_2																		55.65769715714578	48.0	57.72363542231426	58	27.27272727272727	40422836.0
SRR27320657_sorted	76.18179897097323	34601332																					
SRR27320658			0.004417097	10072984.0	50573854.0	100.0	99.9950488250312	1.3109085971577328	50573854.0	60646838	60646838	100.0	92.2057612897374	24051930	87.37	22789439.0							
SRR27320658_1																	1.204727123252904	49.33660404380797	49.0	58.55242501948902	59	18.181818181818183	26113419.0
SRR27320658_1_val_1																		47.82122082920175	48.0	57.8622136301612	58	18.181818181818183	26085062.0
SRR27320658_2																	1.44298922304351	44.217563762387	50.0	58.527261252155455	59	18.181818181818183	26113419.0
SRR27320658_2_val_2																		42.54898220718373	50.0	57.730306487291465	58	18.181818181818183	26085062.0
SRR27320658_sorted	72.32411656096359	21932318																					
SRR27320659			0.003541475	8316635.0	49303083.0	100.0	99.99519908318918	1.0942094635339539	49303083.0	57619718	57619718	100.0	91.55244120070542	23074100	89.37	22523777.0							
SRR27320659_1																	1.1699538351825742	53.684956176087994	48.0	58.538959739905266	59	27.27272727272727	25243110.0
SRR27320659_1_val_1																		52.11160476977285	47.0	57.87820352304361	58	27.27272727272727	25203151.0
SRR27320659_2																	1.511437980588051	49.21841909686698	49.0	58.54237580076306	59	18.181818181818183	25243110.0
SRR27320659_2_val_2																		47.644878243781406	49.0	57.73150964337753	58	18.181818181818183	25203151.0
SRR27320659_sorted	74.42323177631076	21442375																					
SRR27320660			0.002825627	5271509.0	38188165.0	100.0	99.99597519283789	0.7582218208180467	38188165.0	43459674	43459674	100.0	92.19774847083636	17865698	90.77	17588154.0							
